handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
SVDL100,Product,Marseille Soap With Lavender Doussy,(100g X 4) X 24,acbaa7_521caaa3832a409b809d610491b9e354~mv2.jpg,Body Care;Wholesale Orders,SVDL100,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVDM100,Product,Marseille Soap With Honey Doussy,(100g X 4) X 24,acbaa7_2ac9aeb72beb4688bb19eab0101549f7~mv2.jpg,Body Care;Wholesale Orders,SVDM100,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVDN100,Product,Natural Marseille Soap Doussy,(100g X 4) X 24,acbaa7_6256ecfe5e924c23b67510914c738cb2~mv2.jpg,Body Care;Wholesale Orders,SVDN100,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVG250,Product,Ghassoul Soap 250g X 48,250g X 48,acbaa7_1fc47ea5c2d94bb29e21ca2aa82496ff~mv2.jpg,Body Care;Wholesale Orders,SVG250,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVG50g,Product,Ghassoul Soap 50g X 100,50g X 100,acbaa7_8e6ea0752a2d421eb2224d9ed3bbbd84~mv2.jpg,Body Care;Wholesale Orders,SVG50g,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVGSE,Product,Ghassoul Scales 200g,200g X 24,acbaa7_e30f83c2ff80425eb5c40ba15e276e37~mv2.jpg,Body Care;Wholesale Orders,SVGSE,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVGSP,Product,Ghassoul Powder 250g,250g X 24,acbaa7_31c4e9308c4447199e42d87a123e2233~mv2.jpg,Body Care;Wholesale Orders,SVGSP,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVI10,Product,Vanilla Sugar 10 Bags Ideal 80g,(7.5g X 10) X 48,,Pastry Preparation;Wholesale Orders,SVI10,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVI100,Product,Vanilla Sugar 100 Bags Ideal 75g,7.5g X 100,acbaa7_e21913c236c94718b4f4c497adbc3ae2~mv2.jpg,Pastry Preparation;Wholesale Orders,SVI100,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVK250g,Product,Soap El Kaf (250g X 5) X 12,(250g X 5) X 12,acbaa7_da794ae7f6984773aa278a871528c0f8~mv2.jpg,Laundry soap;Wholesale Orders,SVK250g,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVKP375,Product,Soap El Kaf Powder 375g X 16,375 G X 16,acbaa7_c2566d3b0d704b21a523084105ba593f~mv2.jpg,Laundry soap;Wholesale Orders,SVKP375,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVKPC500,Product,Soap El Kaf Pasta Lemon 500g X 24,500g X 24,acbaa7_0d0288de7711436abcf9f3dedb75905e~mv2.jpg,Laundry soap;Wholesale Orders,SVKPC500,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVKPL500,Product,Soap El Kaf Pasta Lavander 500g X 24,500g X 24,acbaa7_975aa7ec77b84fcfa151bdedacf23deb~mv2.jpg,Laundry soap;Wholesale Orders,SVKPL500,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVMN,Product,Soap El Menjel 250g X 12,250g X 12,acbaa7_81438372c57946f980b3bfce16958fa1~mv2.jpg,Body Care;Wholesale Orders,SVMN,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVNAF250gx24,Product,Black Soap (beldi) - Argan & Orange Blossom 250g,250g X 24,acbaa7_bc8c8cec759b421090f63da408f19207~mv2.jpg,Body Care;Wholesale Orders,SVNAF250gx24,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVNE250gx24,Product,Black Soap (beldi) - Eucalyptus 250g,250g X 24,acbaa7_f0ba4216feae4b4095b2aa7aab953ad7~mv2.jpg,Body Care;Wholesale Orders,SVNE250gx24,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVNGR250gx24,Product,Black Soap (beldi) - Ghassoul & Rosemary 250g,250g X 24,acbaa7_d800b59c84e24aca909a1fbe5ecd817c~mv2.jpg,Body Care;Wholesale Orders,SVNGR250gx24,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVNO250gx24,Product,Black Soap (beldi) - Olive 250g,250g X 24,acbaa7_38ad6c3a5ab3406281e1e56377114df2~mv2.jpg,Body Care;Wholesale Orders,SVNO250gx24,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVNT125g,Product,Naturel Soap Taous (125g X 4) X 24,(125g X 4) X 24,acbaa7_f863c5b8dea64b4097e58beee4df0e0c~mv2.jpg,Body Care;Wholesale Orders,SVNT125g,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVOM360g,Product,Soap Omo 375g X 16,375g X 16,acbaa7_4ea44edde031416d811acd2af78b79b2~mv2.jpg,Laundry soap;Wholesale Orders,SVOM360g,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAG022MC,Product,Tajine 22 Cm Multi-colors,22cm X 1,acbaa7_3f848ef8785345bfa14209ac708a481e~mv2.jpg,Kitchen items;Wholesale Orders,TAG022MC,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAG025MC,Product,Tajine 25 Cm Multi-colors,25cm X 1,,Kitchen items;Wholesale Orders,TAG025MC,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAG030MC,Product,Tajine 30 Cm Multi-colors,30cm X 1,,Kitchen items;Wholesale Orders,TAG030MC,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAG035MC,Product,Tajine 35 Cm Multi-colors,35cm X 1,,Kitchen items;Wholesale Orders,TAG035MC,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAG040MC,Product,Tajine 40 Cm Multi-colors,40cm X 1,,Kitchen items;Wholesale Orders,TAG040MC,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAG22,Product,Tajine 22 Cm Simple,22cm X 1,acbaa7_706091c6d01e4d62977c6e7b80e7196c~mv2.jpg,Kitchen items;Wholesale Orders,TAG22,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAG25,Product,Tajine 25 Cm Simple,25cm X 1,,Kitchen items;Wholesale Orders,TAG25,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAG30,Product,Tajine 30 Cm Simple,30cm X 1,,Kitchen items;Wholesale Orders,TAG30,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAG35,Product,Tajine 35 Cm Simple,35cm X 1,,Kitchen items;Wholesale Orders,TAG35,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAG40,Product,Tajine 40 Cm Simple,40cm X 1,,Kitchen items;Wholesale Orders,TAG40,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
